partido,ejercicio,concepto,importe,fuente_url,pagina,nota
cc,2025,ingresos_publicos_ordinarios,1586770.25,https://transparencia.coalicioncanaria.org/wp-content/uploads/2026/07/2025_CC_CUENTA_DE_RESULTADOS.pdf,,
cc,2025,subvenciones_funcionamiento,221399.45,https://transparencia.coalicioncanaria.org/wp-content/uploads/2026/07/2025_CC_CUENTA_DE_RESULTADOS.pdf,,
cc,2025,aportaciones_grupos_institucionales,1354002.59,https://transparencia.coalicioncanaria.org/wp-content/uploads/2026/07/2025_CC_CUENTA_DE_RESULTADOS.pdf,,
cc,2025,ingresos_privados,452195.39,https://transparencia.coalicioncanaria.org/wp-content/uploads/2026/07/2025_CC_CUENTA_DE_RESULTADOS.pdf,,
cc,2025,cuotas_afiliados,69282.50,https://transparencia.coalicioncanaria.org/wp-content/uploads/2026/07/2025_CC_CUENTA_DE_RESULTADOS.pdf,,
cc,2025,aportaciones_cargos_publicos,382912.89,https://transparencia.coalicioncanaria.org/wp-content/uploads/2026/07/2025_CC_CUENTA_DE_RESULTADOS.pdf,,
cc,2025,donaciones_y_legados,0.00,https://transparencia.coalicioncanaria.org/wp-content/uploads/2026/07/2025_CC_CUENTA_DE_RESULTADOS.pdf,,
cc,2025,ingresos_electorales_publicos,0.00,https://transparencia.coalicioncanaria.org/wp-content/uploads/2026/07/2025_CC_CUENTA_DE_RESULTADOS.pdf,,
cc,2025,gastos_personal,470411.17,https://transparencia.coalicioncanaria.org/wp-content/uploads/2026/07/2025_CC_CUENTA_DE_RESULTADOS.pdf,,
cc,2025,gastos_ordinarios,1804037.33,https://transparencia.coalicioncanaria.org/wp-content/uploads/2026/07/2025_CC_CUENTA_DE_RESULTADOS.pdf,,
cc,2025,gastos_electorales,0.00,https://transparencia.coalicioncanaria.org/wp-content/uploads/2026/07/2025_CC_CUENTA_DE_RESULTADOS.pdf,,
cc,2025,gastos_financieros,0.00,https://transparencia.coalicioncanaria.org/wp-content/uploads/2026/07/2025_CC_CUENTA_DE_RESULTADOS.pdf,,
cc,2025,resultado_ejercicio,196373.46,https://transparencia.coalicioncanaria.org/wp-content/uploads/2026/07/2025_CC_CUENTA_DE_RESULTADOS.pdf,,
